end,mem,val,accn,src
2026-03-28,ProductMember,80208000000.0,0000320193-26-000013,3M
2026-06-27,ProductMember,78678000000.0,0000320193-26-000020,3M
2022-06-25,ServiceMember,19604000000.0,0000320193-23-000077,3M
2022-09-24,ServiceMember,19188000000.0,0000320193-24-000123|9M:0000320193-23-000077,FY-9M
2022-12-31,ServiceMember,20766000000.0,0000320193-24-000006,3M
2023-04-01,ServiceMember,20907000000.0,0000320193-24-000069,3M
2023-07-01,ServiceMember,21213000000.0,0000320193-24-000081,3M
2023-09-30,ServiceMember,22314000000.0,0000320193-25-000079|9M:0000320193-24-000081,FY-9M
2023-12-30,ServiceMember,23117000000.0,0000320193-25-000008,3M
2024-03-30,ServiceMember,23867000000.0,0000320193-25-000057,3M
2024-06-29,ServiceMember,24213000000.0,0000320193-25-000073,3M
2024-09-28,ServiceMember,24972000000.0,0000320193-25-000079|9M:0000320193-25-000073,FY-9M
2024-12-28,ServiceMember,26340000000.0,0000320193-26-000006,3M
2025-03-29,ServiceMember,26645000000.0,0000320193-26-000013,3M
2025-06-28,ServiceMember,27423000000.0,0000320193-26-000020,3M
2025-09-27,ServiceMember,28750000000.0,0000320193-25-000079|9M:0000320193-26-000020,FY-9M
2025-12-27,ServiceMember,30013000000.0,0000320193-26-000006,3M
2026-03-28,ServiceMember,30976000000.0,0000320193-26-000013,3M
2026-06-27,ServiceMember,30739000000.0,0000320193-26-000020,3M
2022-06-25,WearablesHomeandAccessoriesMember,8084000000.0,0000320193-23-000077,3M
2022-09-24,WearablesHomeandAccessoriesMember,9650000000.0,0000320193-24-000123|9M:0000320193-23-000077,FY-9M
2022-12-31,WearablesHomeandAccessoriesMember,13482000000.0,0000320193-24-000006,3M
2023-04-01,WearablesHomeandAccessoriesMember,8757000000.0,0000320193-24-000069,3M
2023-07-01,WearablesHomeandAccessoriesMember,8284000000.0,0000320193-24-000081,3M
2023-09-30,WearablesHomeandAccessoriesMember,9322000000.0,0000320193-25-000079|9M:0000320193-24-000081,FY-9M
2023-12-30,WearablesHomeandAccessoriesMember,11953000000.0,0000320193-25-000008,3M
2024-03-30,WearablesHomeandAccessoriesMember,7913000000.0,0000320193-25-000057,3M
2024-06-29,WearablesHomeandAccessoriesMember,8097000000.0,0000320193-25-000073,3M
2024-09-28,WearablesHomeandAccessoriesMember,9042000000.0,0000320193-25-000079|9M:0000320193-25-000073,FY-9M
2024-12-28,WearablesHomeandAccessoriesMember,11747000000.0,0000320193-26-000006,3M
2025-03-29,WearablesHomeandAccessoriesMember,7522000000.0,0000320193-26-000013,3M
2025-06-28,WearablesHomeandAccessoriesMember,7404000000.0,0000320193-26-000020,3M
2025-09-27,WearablesHomeandAccessoriesMember,9013000000.0,0000320193-25-000079|9M:0000320193-26-000020,FY-9M
2025-12-27,WearablesHomeandAccessoriesMember,11493000000.0,0000320193-26-000006,3M
2026-03-28,WearablesHomeandAccessoriesMember,7901000000.0,0000320193-26-000013,3M
2026-06-27,WearablesHomeandAccessoriesMember,7883000000.0,0000320193-26-000020,3M
