grp,h,thr,var,n,bss2,ece,d_bss2,d_ece,wins,nyr
index,21,0.02,MNL,24665,0.04467761915420443,0.02455983594612734,0.0027870811572953125,-0.0022124678228777686,11.0,20.0
index,21,0.02,PLATT,24665,0.02726460340594139,0.03351113943372904,-0.014625934590967726,0.006738835664723934,7.0,20.0
index,21,0.02,ISO,24665,0.029980214867501798,0.03428525837202861,-0.011910323129407319,0.007512954603023501,8.0,20.0
index,21,0.05,BASE,24665,0.11724919574991344,0.026510302708983583,0.0,0.0,0.0,20.0
index,21,0.05,SQ,24665,0.11156949678484551,0.026409385220679864,-0.005679698965067925,-0.00010091748830371935,7.0,20.0
index,21,0.05,FE250,24665,0.1178493826272945,0.03045494926682948,0.0006001868773810592,0.0039446465578458975,10.0,20.0
index,21,0.05,FE1000,24665,0.11796006163034989,0.029979619712502927,0.0007108658804364509,0.003469317003519344,10.0,20.0
index,21,0.05,SPL,24665,0.11791480371943464,0.023627326570257946,0.000665607969521198,-0.0028829761387256375,8.0,20.0
index,21,0.05,LOGIT,24665,0.10821559275592252,0.03770773419421246,-0.009033602993990919,0.011197431485228875,7.0,20.0
index,21,0.05,MNL,24665,,,,,,
index,21,0.05,PLATT,24665,0.10788938139715953,0.021586561644215345,-0.009359814352753903,-0.004923741064768238,8.0,20.0
index,21,0.05,ISO,24665,0.10722457628670978,0.02131729344296472,-0.010024619463203654,-0.005193009266018862,6.0,20.0
single,1,0.02,BASE,997307,0.11346972313139458,0.014587420584982143,0.0,0.0,0.0,21.0
single,1,0.02,SQ,997307,0.1131091004370246,0.01408852722554621,-0.00036062269436998307,-0.0004988933594359327,9.0,21.0
single,1,0.02,FE250,997307,0.11320504789114594,0.014036292656686123,-0.0002646752402486463,-0.0005511279282960201,8.0,21.0
single,1,0.02,FE1000,997307,0.11383061777368342,0.01447133386255263,0.0003608946422888337,-0.0001160867224295134,13.0,21.0
single,1,0.02,SPL,997307,0.11399689590308615,0.011676811083384172,0.0005271727716915642,-0.0029106095015979713,17.0,21.0
single,1,0.02,LOGIT,997307,0.11229780901602038,0.02137899200632069,-0.0011719141153742063,0.006791571421338547,5.0,21.0
single,1,0.02,MNL,997307,0.11246458153692562,0.021133705595009555,-0.0010051415944689612,0.006546285010027412,5.0,21.0
single,1,0.02,PLATT,997307,0.11335727741741053,0.004911741933568271,-0.00011244571398405512,-0.00967567865141387,8.0,21.0
single,1,0.02,ISO,997307,0.11287676312909012,0.0018334090149626702,-0.0005929600023044657,-0.012754011570019472,8.0,21.0
single,1,0.05,BASE,997307,0.10846970367509479,0.009535412210943738,0.0,0.0,0.0,21.0
single,1,0.05,SQ,997307,0.10617313202636391,0.009809075243995519,-0.002296571648730872,0.00027366303305178044,4.0,21.0
single,1,0.05,FE250,997307,0.10251274283895351,0.009654233425528387,-0.0059569608361412785,0.00011882121458464852,2.0,21.0
single,1,0.05,FE1000,997307,0.10456948794511178,0.00997206641471578,-0.003900215729983003,0.0004366542037720425,3.0,21.0
single,1,0.05,SPL,997307,0.10740437258910329,0.008896745876576885,-0.0010653310859914944,-0.0006386663343668532,9.0,21.0
single,1,0.05,LOGIT,997307,0.10463805542352844,0.006217460488098066,-0.003831648251566344,-0.0033179517228456726,10.0,21.0
single,1,0.05,MNL,997307,,,,,,
single,1,0.05,PLATT,997307,0.10899679798779982,0.0029434021962813444,0.0005270943127050343,-0.006592010014662393,9.0,21.0
single,1,0.05,ISO,997307,0.10479652075710388,0.0018467466990597764,-0.0036731829179909026,-0.007688665511883961,5.0,21.0
single,5,0.02,BASE,996383,0.05484724210617664,0.007966402681715067,0.0,0.0,0.0,21.0
single,5,0.02,SQ,996383,0.054930763008542716,0.006182117646926186,8.352090236607435e-05,-0.001784285034788881,11.0,21.0
single,5,0.02,FE250,996383,0.055335037961094624,0.007894481438813094,0.00048779585491798283,-7.192124290197367e-05,15.0,21.0
single,5,0.02,FE1000,996383,0.05541962403840106,0.008154501698212583,0.0005723819322244195,0.00018809901649751576,16.0,21.0
single,5,0.02,SPL,996383,0.05491609999893765,0.006647002905131523,6.885789276100951e-05,-0.0013193997765835446,13.0,21.0
single,5,0.02,LOGIT,996383,0.05464327667299329,0.012914336416415519,-0.0002039654331833507,0.004947933734700451,9.0,21.0
single,5,0.02,MNL,996383,0.05465306757527,0.012746300588441867,-0.00019417453090664338,0.0047798979067267995,9.0,21.0
single,5,0.02,PLATT,996383,0.05458527146563974,0.004223488089300038,-0.00026197064053690156,-0.0037429145924150293,9.0,21.0
single,5,0.02,ISO,996383,0.054140877370205454,0.0018437409500559833,-0.0007063647359711878,-0.006122661731659084,7.0,21.0
single,5,0.05,BASE,996383,0.09332520210233819,0.004579719472014266,0.0,0.0,0.0,21.0
