d,end,avail,ttm_ni,ttm_rev,sh,eps,eps_norm,raw,adj,pe,pe_norm,pe_divadj,ps,ps_divadj
2015-01-22,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.100000381469727,24.850502014160156,17.525150210070482,17.525150210070482,15.498532906818317,3.7879519943099362,3.349911294884388
2015-01-23,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.2450008392334,24.978736877441406,17.615582764103937,17.615582764103937,15.578509248834802,3.8074984272531887,3.3671976827673786
2015-01-26,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,28.274999618530273,25.00526237487793,17.634292127312456,17.634292127312456,15.595052427506017,3.8115423395066346,3.3707733877335966
2015-01-27,2014-09-27,2014-10-27,39510000000.0,182795000000.0,24641234000.0,1.6034099590953927,1.6034099590953927,27.28499984741211,24.12975311279297,17.01685816071997,17.01685816071997,15.049022850279927,3.6780878357178595,3.2527524976862603
2015-01-28,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,28.827499389648438,25.493865966796875,15.698722091429426,15.698722091429426,13.883310218457895,3.4934763845302057,3.089488182848223
2015-01-29,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,29.725000381469727,26.287582397460938,16.187478277213756,16.187478277213756,14.31554797505189,3.602240536343734,3.1856751454792653
2015-01-30,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,29.290000915527344,25.90288734436035,15.950588645080007,15.950588645080007,14.106052845178004,3.549524886574311,3.1390556636751974
2015-02-02,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,29.657499313354492,26.22789764404297,16.150718914395203,16.150718914395203,14.28304517817938,3.5940603822414388,3.178442215776835
2015-02-03,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,29.662500381469727,26.232316970825195,16.153442368741352,16.153442368741352,14.285451831009292,3.5946664394343246,3.178977774326002
2015-02-04,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,29.889999389648438,26.43350601196289,16.277332535460282,16.277332535460282,14.395014259646302,3.6222360319901656,3.2033589790410106
2015-02-05,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,29.985000610351562,26.622177124023438,16.329067781102175,16.329067781102175,14.497759742869972,3.6337488072240482,3.2262231916290527
2015-02-06,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,29.732500076293945,26.397991180419922,16.191562420039485,16.191562420039485,14.375673786753355,3.603149390989968,3.199055094627766
2015-02-09,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,29.93000030517578,26.573339462280273,16.2991160154555,16.2991160154555,14.471163995908428,3.6270835649608726,3.220304772703106
2015-02-10,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,30.5049991607666,27.083852767944336,16.61224575018551,16.61224575018551,14.749176542236846,3.6967651178415832,3.2821716087133868
2015-02-11,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,31.219999313354492,27.718669891357422,17.001616626205287,17.001616626205287,15.094881782384082,3.783412804976674,3.3591022713131187
2015-02-12,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,31.614999771118164,28.069366455078125,17.216723817037316,17.216723817037316,15.285862200694229,3.8312811529184843,3.401601627463798
2015-02-13,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,31.770000457763672,28.206987380981445,17.301133243978533,17.301133243978533,15.360807052501155,3.850064996465334,3.4182792951366685
2015-02-17,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,31.957500457763672,28.373455047607422,17.403240969395746,17.403240969395746,15.451461104739495,3.872787287193562,3.438452770965603
2015-02-18,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,32.18000030517578,28.571006774902344,17.52440872046202,17.52440872046202,15.559042744879898,3.8997510536996116,3.4623931858000505
2015-02-19,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,32.11249923706055,28.51107406616211,17.48764935764347,17.48764935764347,15.526404917852924,3.891570899597317,3.455130207495379
2015-02-20,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,32.375,28.744138717651367,17.63060058870496,17.63060058870496,15.65332599219278,3.9233821990740743,3.4833742755999766
2015-02-23,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,33.25,29.520992279052734,18.10710330731861,18.10710330731861,16.076380659589862,4.029419555805806,3.577517702135558
2015-02-24,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,33.04249954223633,29.336776733398438,17.99410384190379,17.99410384190379,15.976061564372525,4.004273498592224,3.5551934398154716
2015-02-25,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,32.1974983215332,28.586545944213867,17.53393769459306,17.53393769459306,15.567504980790686,3.901871560445428,3.464276308588165
2015-02-26,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,32.60499954223633,28.948341369628906,17.755852482596968,17.755852482596968,15.764529556553253,3.951254820226358,3.5081206864037573
2015-02-27,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,32.1150016784668,28.513301849365234,17.48901212351004,17.48901212351004,15.527618111856091,3.891874159336854,3.4554001826293574
2015-03-02,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,32.272499084472656,28.65313148498535,17.574781200237343,17.574781200237343,15.603765770731224,3.910960569193957,3.472345514005264
2015-03-03,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,32.34000015258789,28.713064193725586,17.611540563055893,17.611540563055893,15.636403597758198,3.9191407232962523,3.479608492309935
2015-03-04,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,32.1349983215332,28.53105354309082,17.499901786120656,17.499901786120656,15.537285232222079,3.894297463536019,3.457551431406697
2015-03-05,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,31.602500915527344,28.05827522277832,17.20991725855893,17.20991725855893,15.279822198015792,3.829766472222459,3.4002575303712623
2015-03-06,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,31.649999618530273,28.100444793701172,17.23578384268638,17.23578384268638,15.302786672515804,3.8355226286963062,3.4053678730400287
2015-03-09,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,31.78499984741211,28.22030258178711,17.309301529629995,17.309301529629995,15.368058171795766,3.851882705757802,3.419892905076994
2015-03-10,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,31.127500534057617,27.636539459228516,16.951244146429968,16.951244146429968,15.050155640452267,3.7722032894823285,3.349149249678622
2015-03-11,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,30.559999465942383,27.1326847076416,16.642197515832187,16.642197515832187,14.775769173117903,3.703430360104759,3.288089334210051
2015-03-12,2014-12-27,2015-01-28,44462000000.0,199800000000.0,24212873000.0,1.836295924073116,1.836295924073116,31.112499237060547,27.623226165771484,16.943074822085013,16.943074822085013,15.042905559851151,3.7703853490467667,3.347535870881391
