contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL270115C00390000,2026-09-14 18:45:00+00:00,390.0,4.6,4.3,4.55,0.099999905,2.2222202,29,5620,0.26709717285156254,False,REGULAR,USD
AAPL270115C00395000,2026-09-14 15:37:05+00:00,395.0,3.9,3.65,3.85,0.10000014,2.6315827,9,1530,0.26587648193359376,False,REGULAR,USD
AAPL270115C00400000,2026-09-14 19:46:15+00:00,400.0,3.24,3.05,3.25,-0.03999996,-1.219511,715,8856,0.26489992919921873,False,REGULAR,USD
AAPL270115C00410000,2026-09-14 19:45:33+00:00,410.0,2.25,2.17,2.36,-0.06999993,-3.0172386,54,3567,0.2651440673828125,False,REGULAR,USD
AAPL270115C00420000,2026-09-14 19:51:34+00:00,420.0,1.62,1.5,1.69,-0.13,-7.428571,112,3141,0.2651440673828125,False,REGULAR,USD
AAPL270115C00430000,2026-09-14 18:49:03+00:00,430.0,1.15,1.02,1.2,-0.04000008,-3.3613513,25,4594,0.2652661364746094,False,REGULAR,USD
AAPL270115C00440000,2026-09-14 18:36:21+00:00,440.0,0.78,0.68,0.86,-0.07000005,-8.2353,99,4247,0.2662426892089844,False,REGULAR,USD
AAPL270115C00450000,2026-09-14 19:59:51+00:00,450.0,0.54,0.49,0.59,-0.07999998,-12.903223,256,15894,0.26563234375,False,REGULAR,USD
AAPL270115C00460000,2026-09-14 19:20:56+00:00,460.0,0.39,0.27,0.45,-0.030000001,-7.1428576,2,385,0.2695385546875,False,REGULAR,USD
AAPL270115C00470000,2026-09-14 18:16:45+00:00,470.0,0.25,0.23,0.34,-0.09,-26.470589,4,429,0.27295648925781246,False,REGULAR,USD
AAPL270115C00480000,2026-09-14 18:24:40+00:00,480.0,0.19,0.1,0.25,-0.120000005,-38.70968,4,8868,0.2751537329101562,False,REGULAR,USD
AAPL270115C00490000,2026-09-14 15:58:33+00:00,490.0,0.12,0.11,0.19,-0.07,-36.842106,1,990,0.278327529296875,False,REGULAR,USD
AAPL270115C00500000,2026-09-14 18:16:45+00:00,500.0,0.09,0.07,0.13,-0.03999999,-30.769224,19,12529,0.278327529296875,False,REGULAR,USD
AAPL270115C00510000,2026-09-14 18:24:40+00:00,510.0,0.1,0.0,0.1,0.0,0.0,6,197,0.28125718749999995,False,REGULAR,USD
AAPL270115C00520000,2026-09-14 15:58:33+00:00,520.0,0.06,0.0,0.18,0.0,0.0,1,4640,0.31250687499999996,False,REGULAR,USD
AAPL270115C00530000,2026-09-14 14:25:27+00:00,530.0,0.07,0.03,0.1,0.0,0.0,5,5202,0.30371790039062496,False,REGULAR,USD
AAPL270115C00540000,2026-09-04 15:25:28+00:00,540.0,0.08,0.0,0.18,0.0,0.0,3,732,0.3354558642578125,False,REGULAR,USD
AAPL270115C00550000,2026-09-14 17:19:59+00:00,550.0,0.03,0.03,0.06,-0.020000001,-40.000004,512,10619,0.3086006640625,False,REGULAR,USD
AAPL270115C00560000,2026-09-14 15:19:18+00:00,560.0,0.07,0.01,0.47,-0.04,-36.363636,3,39,0.40210558837890625,False,REGULAR,USD
AAPL270115C00570000,2026-09-10 19:18:22+00:00,570.0,0.09,0.01,0.09,0.0,0.0,4,63,0.340826904296875,False,REGULAR,USD
AAPL270115C00580000,2026-09-04 13:46:54+00:00,580.0,0.1,0.0,0.19,0.0,0.0,1,127,0.3794007373046875,False,REGULAR,USD
AAPL270115C00590000,2026-09-14 17:22:41+00:00,590.0,0.04,0.01,0.05,-0.07,-63.636364,6,120,0.3398503515625,False,REGULAR,USD
AAPL270115C00600000,2026-09-14 18:37:37+00:00,600.0,0.02,0.01,0.03,-0.01,-33.333336,6,13489,0.33399103515625,False,REGULAR,USD
