date,symbol,side,state,sector,signal_type,score,d0_close,fwd_d1,fwd_d3,fwd_d5,fwd_d10,fwd_d14,fwd_last,days,rank120,RSI,L2_trend,L2_pump,H4_RSI,H4_FJ
2026-05-20,EQIX,BUY,,98 数据中心 REIT,BUY_B_D1FJ_low_H4_0birth,,1065.0601,0.012544,,,,,0.010666,2,0.8709404447756527,50.69287419548181,51.24063029692987,1.485899623075219e-33,47.24386384106381,51.75521233327615
2026-05-20,EWZ,BUY,,01 市场环境,BUY_B_D1FJ_low_H4_0birth,,36.75,0.007075,,,,,-0.008705,2,0.5371747735776914,39.94795211973857,0.0,0.9179315109780857,40.05654661440207,48.27952700101596
2026-05-20,FSLR,BUY,,10 太阳能,Gann_BUY_A_new_zero,,237.86,0.04633,,,,,0.07435,2,0.5321854438575392,64.31088692205307,114.1373559496226,9.5047948983441e-11,62.56024405919882,63.84333107863851
2026-05-20,INTC,BUY,,03 GPU / AI芯片,Gann_BUY_A_new_zero,,118.96,-0.003867,,,,,0.010677,2,0.8877823857227801,67.93761386205426,82.97994139559923,2.727491397990632e-11,61.35868502908423,66.28436005382086
2026-05-20,IREN,BUY,,98 数据中心,BUY_B_D1FJ_low_H4_0birth,,52.71,0.101499,,,,,0.083286,2,0.6733716390514192,52.75258440159395,54.19434515706583,2.992843749539874e-11,50.17187347945799,51.78863496189062
2026-05-20,KLAC,BUY,,04 半导体设备 / EDA,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,1829.47,0.006947,,,,,0.038547,2,0.86432588955792,54.86902228135865,77.60729081762058,3.940483993467951e-54,53.4680894668622,59.28697689992676
2026-05-20,LRCX,BUY,,04 半导体设备 / EDA,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,292.09,0.03475,,,,,0.052552,2,0.951094503125906,59.06845220210219,93.53702990116068,2.954691267836363e-15,57.06526391843207,62.17869256592494
2026-05-20,MOS,BUY,,98 化肥,BUY_B_D1FJ_low_H4_0birth,,21.86,0.00366,,,,,0.023102,2,0.04618483393716742,38.46985419478786,0.0,1.334479337747429,42.74987819387417,49.26872555395526
2026-05-20,MU,BUY,,03 GPU / AI芯片,Gann_BUY_A_new_zero,,731.99,0.041134,,,,,0.043602,2,0.8760789217055541,64.36228203062913,103.289932389733,2.448988139513007e-10,57.20584710574774,53.87114468363761
2026-05-20,NRG,BUY,,07 数据中心电力,BUY_B_D1FJ_low_H4_0birth,,133.98,0.021944,,,,,0.039931,2,0.1702585658989588,41.18938267954076,0.0,3.309613512446842,45.5576984918495,63.01626625647126
2026-05-20,OKLO,BUY,,08 核能,BUY_B_D1FJ_low_H4_0birth,,62.58,0.040109,,,,,0.07127,2,0.2573028617908673,47.01509481844688,0.0,4.280485604830141e-11,45.45645847308722,51.45428337977166
