symbol,group,signal,date,fwd_ret,bench_ret,excess_ret,period
XLE,14 能源,正式买入,2016-09-12,0.003125461324204437,-0.0001848631173606563,0.0033103244415650934,train
XLE,14 能源,正式买入,2016-10-19,-0.01993501477716464,-0.0007933459488228545,-0.019141668828341785,train
XLE,14 能源,正式买入,2016-11-14,0.08074444542383219,0.020361068085663403,0.06038337733816879,train
XLE,14 能源,正式买入,2016-12-21,-0.01983973359770408,0.003366233301385746,-0.023205966899089825,train
XLE,14 能源,正式买入,2017-01-25,-0.01721138543906331,0.01799010973672499,-0.0352014951757883,train
XLE,14 能源,正式买入,2017-03-01,-0.04944373842649841,-0.025231475029435124,-0.024212263397063283,train
XLE,14 能源,正式买入,2017-03-29,-0.03363740717171748,-0.008915644495988029,-0.024721762675729453,train
XLE,14 能源,正式买入,2017-05-08,-0.0174067014196706,0.008553797131072738,-0.02596049855074334,train
XLE,14 能源,正式买入,2017-06-09,-0.026949728468439793,-0.008463076815254267,-0.018486651653185526,train
XLE,14 能源,正式买入,2017-06-30,0.0029267166784539,0.021009105735897426,-0.018082389057443526,train
XLE,14 能源,正式买入,2017-07-25,-0.031302197766526874,-0.003556724958875823,-0.02774547280765105,train
XLE,14 能源,正式买入,2017-08-25,0.04507930695064477,0.018931979592055725,0.026147327358589045,train
XLE,14 能源,正式买入,2017-10-09,-0.012754768483497547,0.014806042732901759,-0.027560811216399306,train
XLE,14 能源,正式买入,2017-10-30,-0.003841071455944034,0.004323214611733128,-0.008164286067677162,train
XLE,14 能源,正式买入,2017-11-29,0.018654474278922528,0.01697697886537708,0.001677495413545449,train
XLE,14 能源,正式买入,2018-02-23,-0.0234011706240822,0.001055689832706097,-0.0244568604567883,train
XLE,14 能源,正式买入,2018-03-21,0.030037875526286895,-0.02466436079874057,0.054702236325027465,train
XLE,14 能源,正式买入,2018-05-30,-0.024281992785939233,0.010601279497192584,-0.034883272283131816,train
XLE,14 能源,正式买入,2018-06-27,-0.0058224486328321,0.04347499977623093,-0.04929744840906303,train
XLE,14 能源,正式买入,2018-07-24,-0.015496664489341838,0.001740068809496842,-0.01723673329883868,train
XLE,14 能源,正式买入,2018-08-22,-0.006859477426996663,0.010308493381673278,-0.01716797080866994,train
XLE,14 能源,正式买入,2018-09-12,0.04103475838251858,0.008439410911089906,0.03259534747142867,train
XLE,14 能源,正式买入,2018-11-05,-0.055612164202246794,-0.021544366410059634,-0.03406779779218716,train
XLE,14 能源,正式买入,2018-11-28,-0.10607907345297796,-0.08492968608727125,-0.021149387365706707,train
XLE,14 能源,正式买入,2019-01-02,0.05694257621615817,0.05288197047584631,0.004060605740311862,train
XLE,14 能源,正式买入,2019-01-24,0.043450224891569134,0.04340733436266708,4.289052890205092e-05,train
XLE,14 能源,正式买入,2019-03-01,0.012641143805310229,0.015369792996976939,-0.00272864919166671,train
XLE,14 能源,正式买入,2019-03-26,0.010836863248734785,0.031481240243428577,-0.02064437699469379,train
XLE,14 能源,正式买入,2019-04-22,-0.06646257860411331,-0.007475739801864445,-0.058986838802248864,train
XLE,14 能源,正式买入,2019-05-16,-0.05295030693503655,-0.010080028818266529,-0.04287027811677002,train
XLE,14 能源,正式买入,2019-06-06,0.040334464941344406,0.01990875586643681,0.020425709074907594,train
XLE,14 能源,正式买入,2019-07-03,0.007777804420107781,0.008835390750640437,-0.001057586330532656,train
XLE,14 能源,正式买入,2019-07-30,-0.07344996239278667,-0.027899755966946604,-0.04555020642584007,train
XLE,14 能源,正式买入,2019-08-29,0.0749826271331826,0.02905188457892205,0.04593074255426055,train
XLE,14 能源,正式买入,2019-10-11,0.0012091845839048432,0.023795017625271475,-0.022585833041366632,train
XLE,14 能源,正式买入,2019-11-01,0.01265182212287641,0.01349047549363025,-0.0008386533707538391,train
XLE,14 能源,正式买入,2019-11-21,0.01232719795959758,0.022109827286062034,-0.009782629326464454,train
XLE,14 能源,正式买入,2020-01-06,-0.0956135994241919,-0.00043262465115634363,-0.09518097477303555,train
XLE,14 能源,正式买入,2020-02-12,-0.15079940223473054,-0.0727877040448045,-0.07801169818992604,train
XLE,14 能源,正式买入,2020-03-26,0.009871706167633887,0.06852983560466508,-0.05865812943703119,train
XLE,14 能源,正式买入,2020-04-17,0.09248893428821736,0.003628167646513969,0.08886076664170339,train
XLE,14 能源,正式买入,2020-05-18,0.20369895306991515,0.09559326171875004,0.1081056913511651,train
XLE,14 能源,正式买入,2020-07-14,-0.01175185305773685,0.0309481835620955,-0.04270003661983235,train
XLE,14 能源,正式买入,2020-08-04,-0.0005399691487396607,0.038962661226032536,-0.039502630374772196,train
XLE,14 能源,正式买入,2020-09-16,-0.12374776150655598,-0.011481065357262454,-0.11226669614929352,train
XLE,14 能源,正式买入,2020-10-08,-0.1144136058263312,-0.049799276217283195,-0.064614329609048,train
XLE,14 能源,正式买入,2020-11-02,0.20572392098978676,0.0761053102247562,0.12961861076503056,train
XLE,14 能源,正式买入,2020-12-02,-0.016784667498570105,0.0012268101065191495,-0.018011477605089254,train
XLE,14 能源,正式买入,2021-01-05,0.027483614644012944,0.03355511922878707,-0.006071504584774123,train
XLE,14 能源,正式买入,2021-02-03,0.20483945599531195,0.025978742311364655,0.1788607136839473,train
XLE,14 能源,正式买入,2021-03-26,-0.04025379272283147,0.053740083309486986,-0.09399387603231846,train
XLE,14 能源,正式买入,2021-04-27,0.12985138509188854,-0.004790189817557522,0.13464157490944606,train
XLE,14 能源,正式买入,2021-05-24,0.04669702107482654,0.014528702299313023,0.032168318775513516,train
XLE,14 能源,正式买入,2021-06-23,-0.06907292655345121,0.032276346270374345,-0.10134927282382555,train
XLE,14 能源,正式买入,2021-07-26,-0.006033850450367528,0.011110662863652143,-0.01714451331401967,train
XLE,14 能源,正式买入,2021-08-24,0.001033042055459621,-0.008482683623041498,0.009515725678501119,train
XLE,14 能源,正式买入,2021-09-22,0.15570576234975975,-0.009683438487695262,0.165389200837455,train
XLE,14 能源,正式买入,2021-10-28,-0.010717354334280893,0.021426093487714626,-0.03214344782199552,train
XLE,14 能源,正式买入,2021-11-23,-0.0336530140632294,-0.01031636101723088,-0.023336653045998523,train
XLE,14 能源,正式买入,2021-12-27,0.14991094279599504,-0.02627500374707714,0.17618594654307218,train
XLE,14 能源,正式买入,2022-01-24,0.1199300915909618,0.0014095924025772089,0.11852049918838459,train
XLE,14 能源,正式买入,2022-02-16,0.09609209918257133,-0.04296910474505966,0.139061203927631,train
XLE,14 能源,正式买入,2022-03-17,0.03313055684574917,0.012356273604990253,0.020774283240758917,train
XLE,14 能源,正式买入,2022-04-07,-0.0034884272240054415,-0.04670542141453127,0.043216994190525826,train
XLE,14 能源,正式买入,2022-04-28,0.05950997187519991,-0.0840326603216126,0.14354263219681251,train
XLE,14 能源,正式买入,2022-07-18,0.04161912794372169,0.08252385916036276,-0.040904731216641066,train
XLE,14 能源,正式买入,2022-08-09,0.12494978378448995,-0.021198495420731156,0.1461482792052211,train
