[2026-09-02 17:39:13 EDT] skip: not near a target time (ET 1739)
[2026-09-02 17:44:14 EDT] skip: not near a target time (ET 1744)
[2026-09-02 17:49:14 EDT] skip: not near a target time (ET 1749)
[2026-09-02 17:54:15 EDT] skip: not near a target time (ET 1754)
[2026-09-02 17:59:15 EDT] skip: not near a target time (ET 1759)
[2026-09-02 18:04:15 EDT] skip: not near a target time (ET 1804)
[2026-09-02 18:09:15 EDT] skip: not near a target time (ET 1809)
[2026-09-02 18:14:15 EDT] skip: not near a target time (ET 1814)
[2026-09-02 18:19:15 EDT] skip: not near a target time (ET 1819)
[2026-09-02 18:24:15 EDT] skip: not near a target time (ET 1824)
[2026-09-02 18:29:16 EDT] skip: not near a target time (ET 1829)
[2026-09-02 18:34:16 EDT] skip: not near a target time (ET 1834)
[2026-09-02 18:39:16 EDT] skip: not near a target time (ET 1839)
[2026-09-02 18:44:16 EDT] skip: not near a target time (ET 1844)
[2026-09-02 18:49:16 EDT] skip: not near a target time (ET 1849)
[2026-09-02 18:54:16 EDT] skip: not near a target time (ET 1854)
[2026-09-02 18:59:40 EDT] skip: not near a target time (ET 1859)
[2026-09-02 21:33:31 EDT] skip: not near a target time (ET 2133)
[2026-09-03 02:50:27 EDT] skip: not near a target time (ET 250)
[2026-09-03 06:41:07 EDT] skip: not near a target time (ET 641)
[2026-09-03 09:56:00 EDT] START scheduled scan (weekday 4, ET 956, slot=open)
[2026-09-03 11:28:42 EDT]     scan ok
[2026-09-03 11:28:42 EDT] DONE slot=open for ET date 2026-09-03
[2026-09-03 11:33:43 EDT] skip: not near a target time (ET 1133)
[2026-09-03 11:38:43 EDT] skip: not near a target time (ET 1138)
[2026-09-03 11:43:43 EDT] skip: not near a target time (ET 1143)
[2026-09-03 11:48:43 EDT] skip: not near a target time (ET 1148)
[2026-09-03 11:53:44 EDT] skip: not near a target time (ET 1153)
[2026-09-03 11:58:44 EDT] skip: not near a target time (ET 1158)
[2026-09-03 12:03:44 EDT] skip: not near a target time (ET 1203)
